Actividad,Precio (Por persona),Confirmacion Inmediata,Cancelacion Gratuita,Valoracion,Nº Opiniones,Link,Fecha consulta
Reserva con menú para el Hard Rock Cafe de Paris,23,Si,Cancelación gratuita,4.7,801,https://www.hellotickets.es/francia/paris/reserva-con-menu-hard-rock-cafe/a/pa-4679,2024-10-19 21:02:30.588319
Reserva para almuerzo en el Madame Brasserie en la Torre Eiffel,71,Si,Cancelación gratuita,4.7,899,https://www.hellotickets.es/francia/paris/reserva-con-almuerzo-madame-brasserie/a/pa-4674,2024-10-19 21:02:30.588319
Excursión a Chateaux de Fontainebleau y Vaux le Vicomte desde París,116,,Cancelación gratuita,4.7,697,https://www.hellotickets.es/francia/paris/excursion-chateaux-de-fointainbleau/a/pa-570,2024-10-19 21:02:30.588319
Excursión a Versalles desde París con visita guiada al Palacio,109,Si,Cancelación gratuita,4.3,672,https://www.hellotickets.es/francia/paris/excursion-palacio-versalles/a/pa-606,2024-10-19 21:02:30.588319
Tour privado en tuk tuk por París,206,Si,Cancelación gratuita,4.5,666,https://www.hellotickets.es/francia/paris/tour-tuk-tuk/a/pa-645,2024-10-19 21:02:30.588319
Traslado privado desde los aeropuertos de Charles de Gaulle u Orly a tu hotel en París,51,,Cancelación gratuita,4.8,703,https://www.hellotickets.es/francia/paris/traslado-aeropuertos-charles-de-gaulle-y-orly/a/pa-585,2024-10-19 21:02:30.588319
Tour privado personalizado por París,57,,Cancelación gratuita,4.7,619,https://www.hellotickets.es/francia/paris/tour-privado-personalizado/a/pa-647,2024-10-19 21:02:30.588319
Excursión al Monte Saint-Michel desde París,177,,Cancelación gratuita,4.3,623,https://www.hellotickets.es/francia/paris/excursion-monte-saint-michel-desde-paris/a/pa-608,2024-10-19 21:02:30.588319
Tour por París en coche clásico con conductor,115,,Cancelación gratuita,4.7,615,https://www.hellotickets.es/francia/paris/tour-coche-clasico-conductor/a/pa-642,2024-10-19 21:02:30.588319
Tour por el barrio Saint-Germain-des-Prés de París,113,,Cancelación gratuita,4.8,608,https://www.hellotickets.es/francia/paris/tour-saint-germain-des-pres/a/pa-632,2024-10-19 21:02:30.588319
Excursión a Normandía desde París con un tour por el Cementerio Americano,172,,Cancelación gratuita,4.5,595,https://www.hellotickets.es/francia/paris/excursion-normandia-desde-paris-con-tour-cementerio/a/pa-580,2024-10-19 21:02:30.588319
"Excursión a Normandía desde París con tour por la playa de Omaha, cata de sidra y almuerzo",125,Si,No,4.3,596,https://www.hellotickets.es/francia/paris/excursion-normandia/a/pa-579,2024-10-19 21:02:30.588319
Tour por Montmartre,36,,Cancelación gratuita,4.5,566,https://www.hellotickets.es/francia/paris/tour-montmartre/a/pa-638,2024-10-19 21:02:30.588319
Tour privado en sidecar por París,76,,Cancelación gratuita,4.3,266,https://www.hellotickets.es/francia/paris/tour-sidecar/a/pa-644,2024-10-19 21:02:30.588319
Visita guiada a una bodega en París con cata de vino,38,,Cancelación gratuita,4.9,257,https://www.hellotickets.es/francia/paris/visita-guiada-bodega/a/pa-590,2024-10-19 21:02:30.588319
Tour nocturno de fantasmas por París,15,Si,No,4.8,308,https://www.hellotickets.es/francia/paris/tour-fantasmas/a/pa-628,2024-10-19 21:02:30.588319
Excursión a Giverny y los jardines de Monet desde París,92,,Cancelación gratuita,4.8,248,https://www.hellotickets.es/francia/paris/excursion-giverny-y-jardines-monet-desde-paris/a/pa-572,2024-10-19 21:02:30.588319
Tour nocturno en bicicleta por París,53,,Cancelación gratuita,4.9,135,https://www.hellotickets.es/francia/paris/tour-nocturno-bicicleta/a/pa-629,2024-10-19 21:02:30.588319
Tour privado o en grupo pequeño por Montmartre y el Sacre Couer,55,,Cancelación gratuita,4.3,125,https://www.hellotickets.es/francia/paris/tour-privado-montmartre-sacre-couer/a/pa-646,2024-10-19 21:02:30.588319
"Tour privado por Notre Dame, la Isla de la Cité y la iglesia Saint-Séverin para niños",250,,Cancelación gratuita,4.6,125,https://www.hellotickets.es/francia/paris/tour-notre-dame-ninos/a/pa-581,2024-10-19 21:02:30.588319
Excursión a los Castillos del Loira desde París con cata de vino,155,,Cancelación gratuita,4.8,124,https://www.hellotickets.es/francia/paris/excursion-castillos-loira/a/pa-578,2024-10-19 21:02:30.588319
Cata de vinos y quesos en una bodega de París para grupos pequeños,74,,Cancelación gratuita,4.8,133,https://www.hellotickets.es/francia/paris/cata-vino/a/pa-543,2024-10-19 21:02:30.588319
Taller de graffitis en París,62,,Cancelación gratuita,4.5,119,https://www.hellotickets.es/francia/paris/taller-graffitis/a/pa-616,2024-10-19 21:02:30.588319
Visita guiada privada al Museo de Orsay de París,86,,Cancelación gratuita,4.4,119,https://www.hellotickets.es/francia/paris/visita-guiada-museo-orsay/a/pa-599,2024-10-19 21:02:30.588319
"Tour por la Isla de la Cité, Notre Dame, Sainte Chapelle y la cárcel de La Conciergerie",68,Si,Cancelación gratuita,4.9,108,https://www.hellotickets.es/francia/paris/tour-isla-cite-notre-dame-sainte-chapelle-y-conciergerie/a/pa-635,2024-10-19 21:02:30.588319
"Excursión a las bodegas Moët et Chandon, Hautvillers y Maison Mumm desde París para grupos pequeños",268,,Cancelación gratuita,4.8,110,https://www.hellotickets.es/francia/paris/excursion-bodegas/a/pa-577,2024-10-19 21:02:30.588319
Tour privado por París,62,,Cancelación gratuita,4.3,109,https://www.hellotickets.es/francia/paris/tour-privado/a/pa-582,2024-10-19 21:02:30.588319
Tour en bicicleta eléctrica por París,67,,Cancelación gratuita,4.1,108,https://www.hellotickets.es/francia/paris/tour-bicicleta-electrica/a/pa-620,2024-10-19 21:02:30.588319
Tour por lo pasajes cubiertos y galerías de París para grupos pequeños,126,,Cancelación gratuita,4.4,106,https://www.hellotickets.es/francia/paris/tour-pasajes-cubiertos/a/pa-637,2024-10-19 21:02:30.588319
Visita guiada al Museo de la Orangerie de París,137,,Cancelación gratuita,4.8,104,https://www.hellotickets.es/francia/paris/visita-guiada-museo-orangerie/a/pa-592,2024-10-19 21:02:30.588319
Visita guiada sin colas al Museo del Louvre para grupos pequeños,125,Si,Cancelación gratuita,4.7,102,https://www.hellotickets.es/francia/paris/visita-guiada-museo-louvre-grupos-pequenos/a/pa-604,2024-10-19 21:02:30.588319
Visita guiada sin colas a las Catacumbas de Paris con acceso a áreas restringidas,129,Si,No,4.6,100,https://www.hellotickets.es/francia/paris/visita-guiada-catacumbas-areas-restringidas/a/pa-602,2024-10-19 21:02:30.588319
Entradas para el Museo del Chocolate de París,15,Si,Cancelación gratuita,4.4,191,https://www.hellotickets.es/francia/paris/entradas-museo-chocolate-paris/a/pa-562,2024-10-19 21:02:30.588319
Excursión de compras al outlet de La Vallée en París,28,,Cancelación gratuita,4.8,91,https://www.hellotickets.es/francia/paris/excursion-compras-outlet/a/pa-611,2024-10-19 21:02:30.588319
"Entradas para Flyview Paris, una experiencia de realidad virtual",24,Si,Cancelación gratuita,4.9,59,https://www.hellotickets.es/francia/paris/entradas-flyview/a/pa-564,2024-10-19 21:02:30.588319
